ALIMENT;CALORIES
Pâtes sèches standard, cuites, non salées;126
Pâtes fraîches, aux œufs, cuites, non salées;168
Pâtes sèches, aux œufs, cuites, non salées;134
Pâtes sèches, sans gluten, cuites, non salées;163
Pâtes sèches, au blé complet, cuites, non salées;128
Vermicelle de riz, cuite, non salée;103
Vermicelle de soja, cuite, non salée;61.2
Gnocchi à la semoule, cuit;185
Gnocchi à la pomme de terre, cuit;178
Pain, baguette, courante;288
Pain, baguette ou boule, au levain;261
Pain, baguette, de tradition française;285
Pain, baguette ou boule, bis (à la farine T80 ou T110);265
Pain courant français, 400g ou boule;266
Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110);257
Pain, baguette ou boule, de campagne;268
Pain complet ou intégral (à la farine T150);256
Pain, sans gluten;261
Pain, baguette, sans sel;281
Pain blanc maison (avec farine pour machine à pain);256
Pain de campagne maison (avec farine pour machine à pain);240
Pain de mie, complet;260
Pain de mie, au son;278
Pain de mie, multicéréale;274
Pain au son;256
Pain de seigle, et froment;239
Pain de seigle, aux raisins;267
Pain panini;272
Pain pita;259
Pain de mie, courant;283
Pain de mie, sans croûte, préemballé;253
Pain de mie brioché, préemballé;321
Pain, baguette ou boule, aux céréales et graines, artisanal;286
Muffin anglais, complet, petit pain spécial, préemballé;217
Muffin anglais, petit pain spécial, préemballé;228
Bagel;277
Pain pour hamburger ou hot dog (bun), préemballé;293
Pain pour hamburger ou hot dog (bun), complet, préemballé;285
Tortilla souple (à garnir), à base de maïs;309
Tortilla souple (à garnir), à base de blé;327
Pain grillé, domestique;340
Biscotte classique;418
Biscotte briochée;417
Biscotte sans adjonction de sel;405
Biscotte multicéréale;398
Biscotte complète ou riche en fibres;393
Crackers de table au froment;450
Galette de riz soufflé complet;385
Galettes multicéréales;394
Pain grillé, tranches, au froment;403
Pain grillé brioché, tranché, préemballé;419
Pain grillé suédois au froment;402
Pain grillé suédois aux graines de lin;396
Tartine craquante, extrudée et grillée;379
Pain grillé suédois au blé complet;398
Pain grillé suédois aux fruits;401
Pain grillé, tranches, multicéréale;413
Croûtons;533
Croûtons à tartiner;374
Chapelure;374
Gressins;433
Pain brioché ou viennois;356
Croissant, sans précision;375
Croissant ordinaire, artisanal;434
Croissant au beurre, artisanal;424
Croissant aux amandes, artisanal;446
Pain au lait, artisanal;437
Pain au lait, préemballé;354
Pain au lait aux pépites de chocolat, préemballé;369
Pain aux raisins (viennoiserie);333
Pain au chocolat feuilleté, artisanal;427
Pain au chocolat, préemballé;428
Brioche aux pépites de chocolat;363
Brioche fourrée au chocolat;351
Brioche fourré aux fruits;346
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée";300
Brioche, préemballée;355
Brioche, sans précision;401
Brioche, de boulangerie traditionnelle;375
Couronne de Noël (Brioche) aux fruits confits, préemballée;355
Brioche pur beurre;359
Chouquette;383
Chausson aux pommes;339
Beignet rond moelleux, sans fourrage, saupoudré de sucre;466
Beignet à la confiture;378
Beignet fourré aux fruits, préemballé;362
Beignet fourré goût chocolat, préemballé;420
Gâteau mousse de fruits sur génoise, type miroir, bavarois;245
Entremets type Opéra;400
Fraisier ou framboisier;262
Baba au rhum, préemballé;175
Canelé;297
Macaron moelleux fourré à la confiture ou à la crème;453
Bûche de Noël pâtissière;320
Brownie au chocolat;467
Rocher coco ou Congolais (petit gâteau à la noix de coco);464
Biscuit de Savoie;260
Quatre-quarts ou barre pâtissière, préemballé;402
Gâteau au citron, tout type;421
Far aux pruneaux;343
Kouign Amann;502
Pain d'épices;335
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop);463
Corne de gazelle (pâtisserie orientale aux amandes et sirop);475
Chou à la crème (chantilly ou pâtissière);294
Chou à la crème chantilly;350
Chou à la crème pâtissière;225
Éclair;250
Tarte au citron;383
Tarte ou tartelette aux pommes;232
Tarte aux fraises;318
Crumble aux pommes;242
Tarte aux abricots;285
Tarte aux fruits rouges;239
Tarte Tatin aux pommes;235
Tarte au chocolat, fabrication artisanale;470
Tarte ou tartelette aux fruits;303
Flan pâtissier aux oeufs ou à la parisienne;150
Charlotte aux fruits;203
Gâteau au chocolat;445
Gâteau moelleux au chocolat, préemballé;438
Gâteau au yaourt;426
Gâteau au fromage blanc;257
Gâteau moelleux nature type génoise;392
Galette des rois feuilletée;354
Galette des rois feuilletée, fourrée frangipane, et Pithiviers;447
Crêpe, nature, préemballée, rayon frais;253
Crêpe, nature, préemballée, rayon température ambiante;381
Galette de sarrasin, nature, préemballée;156
Gâteau basque, crème pâtissière;367
Gâteau basque, cerises;395
Blini;260
Crêpe préemballée, fourrée au sucre;406
Crêpe maison, fourrée à la confiture;297
Crêpe maison, fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes;389
Crêpe préemballée, fourrée chocolat;438
Crêpe préemballée, fourrée fraise;349
Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée;469
Gaufre moelleuse (type bruxelloise ou liégeoise), chocolatée, préemballée;468
Gaufre croustillante (fine ou sèche), nature ou sucrée, préemballée;451
Gaufre croustillante (fine ou sèche), chocolatée, préemballée;455
Cake aux fruits;391
Gâteau marbré;439
Gâteau sablé aux fruits, préemballé;427
Gâteau moelleux aux fruits;402
Gâteau moelleux aux fruits à coque;454
Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait;465
Génoise fourrée et nappée au chocolat;427
Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré;353
Muffin, aux myrtilles ou au chocolat;431
Madeleine traditionnelle, pur beurre;451
Madeleine chocolatée, préemballé;458
Madeleine ordinaire, préemballée;-
Madeleine aux raisins;409
Tarte aux poires amandine;290
Gâteau aux amandes type financier;470
Gâteau aux amandes, préemballé;424
Mille-feuille;292
Tartine craquante, extrudée et grillée, fourrée au chocolat;442
Tartine craquante, extrudée et grillée, fourrée aux fruits;386
Macaron sec;436
Biscuit sec, sans précision;489
Biscuit sec nature;447
Biscuit sec à teneur garantie en vitamines;458
Biscuit sec à teneur garantie en vitamines et minéraux;476
Biscuit sec aux fruits, hyposodé;443
Biscuit sec croquant au chocolat, allégé en matière grasse;420
Biscuit sec fourré aux fruits, allégé en matière grasse;391
Spéculoos;481
Biscuit sec, avec matière grasse végétale;442
Biscuit sec, petits fours en assortiment;520
Biscuit sec petit beurre;445
Biscuit sec avec tablette de chocolat;502
Biscuit sec petit beurre au chocolat;463
Biscuit sec au lait;438
Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse;427
Biscuit sec pour petit déjeuner;461
Biscuit sec pour petit déjeuner, allégé en sucres;453
Biscuit sec chocolaté, préemballé;520
Biscuit sec fourré à la pâte ou purée de fruits;380
Biscuit sec avec nappage chocolat;505
Barre biscuitée fourrée aux fruits, allégée en matière grasse;-
Biscuit sec pour petit déjeuner, au chocolat;460
Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux;454
Biscuit sec au beurre, sablé, galette ou palet;493
Biscuit sec au beurre, sablé, galette ou palet, au chocolat;504
Biscuit sec chocolaté, type barquette;483
Biscuit sec chocolaté, type tartelette;506
Biscuit sec chocolaté, type galette;500
Biscuit sec, sablé, galette ou palet, aux fruits;474
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté);501
Florentin (biscuit sec sucré chocolaté aux amandes);524
Biscuit pâtissier meringué;537
Sablé à la noix de coco;480
Sablé pâtissier;484
Sablé aux fruits (pomme, fruits rouges, etc.);485
Sablé au cacao ou chocolat, au praliné ou autre;500
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille";478
"Goûter sec fourré (""sandwiché"") parfum chocolat";468
"Goûter sec fourré (""sandwiché"") parfum fruits";484
Gaufrette ou éventail sans fourrage;423
Gaufrette fourrée chocolat, préemballée;529
Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée;512
Gaufrette, nature ou vanille, préemballée;544
Gaufrette fourrée, aux fruits;365
Cigarette;521
Crêpe dentelle;456
Crêpe dentelle au chocolat, préemballée;498
Biscuit sec aux œufs à la cuillère (cuiller) ou Boudoir;388
Biscuit sec type langue de chat ou cigarette russe;434
Meringue;396
Biscuit sec ou tuile, aux amandes;465
Biscuit sec type tuile, aux fruits;384
Biscuit sec feuilleté, type palmier ou autres;519
Palmier, artisanal;501
Biscuit sec (génoise) nappage aux fruits, type barquette;364
Biscuit sec nappé aux fruits, tartelette;436
Biscuit moelleux fourré à l'orange et enrobé de sucre glace;354
Cookie aux pépites de chocolat;502
Cône ou cornet classique, pour glace;401
Génoise sèche fourrée aux fruits et nappée de chocolat;391
Biscuit sec pauvre en glucides;448
Pop-corn ou Maïs éclaté, à l'huile, salé;460
Pop-corn ou Maïs éclaté, à l'air, non salé;425
Pop-corn ou Maïs éclaté, au caramel;423
Chips de crevette;508
Chips de maïs ou tortilla chips;495
Biscuit apéritif soufflé, à base de pomme de terre;486
Biscuit apéritif, mini bretzel ou sticks;381
Biscuit apéritif soufflé, à base de pomme de terre et de soja;409
Biscuit apéritif soufflé, à base de maïs, sans cacahuète;489
Biscuit apéritif, crackers, garni ou fourré, au fromage;535
Biscuit apéritif, crackers, nature;500
Biscuit apéritif, crackers, nature, allégé en matière grasse;410
Biscuit apéritif soufflé, à base de maïs, à la cacahuète;487
Biscuit apéritif à base de pomme de terre, type tuile salée;521
Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif;518
Biscuit apéritif feuilleté;511
Crêpe dentelle (pour apéritif) au fromage, préemballée;555
Préparation pour pâte à pizza;381
Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.);341
Feuilleté au poisson et / ou fruits de mer;260
Feuilleté aux escargots;321
Feuilleté ou Friand au fromage;308
Feuilleté ou Friand à la viande;355
Bouchée à la reine, à la viande/volaille/quenelle;294
Croissant au jambon;234
Bouchée à la reine, au poisson et fruits de mer;208
Feuilleté ou Friand jambon fromage;299
Croissant au jambon fromage;258
Pâte à pizza fine, crue;279
Pâte brisée, crue;383
Pâte brisée, matière grasse végétale, cuite;505
Pâte brisée, pur beurre, crue;377
Pâte brisée, pur beurre, surgelée, crue;387
Pâte feuilletée, matière grasse végétale, crue;384
Pâte feuilletée, surgelée, crue;400
Pâte feuilletée, cuite;531
Pâte feuilletée pur beurre, crue;375
Pâte feuilletée pur beurre, surgelée crue;398
Pâte feuilletée pur beurre, cuite;520
Feuille de brick, cuite à sec sans matière grasse;324
Pâte sablée, crue;419
Pâte sablée pur beurre, crue;383
Pâte phyllo ou Pâte filo, crue;289
Pâte sablée pur beurre, surgelée, crue;423
Pâte à pizza crue;240
Khatfa feuille de brick, préemballée;283
Pâte à pizza cuite;324
Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux;426
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux";379
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux";418
Barre céréalière diététique hypocalorique;390
Barre céréalière chocolatée;455
Barre céréalière aux fruits;378
Barre céréalière aux amandes ou noisettes;450
Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;392
Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux;386
Pétales de blé chocolatés, enrichis en vitamines et minéraux;388
Pétales de blé chocolatés (non enrichis en vitamines et minéraux);387
Riz soufflé chocolaté (non enrichi en vitamines et minéraux);388
Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux);386
Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;387
Riz soufflé chocolaté, enrichi en vitamines et minéraux;391
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux;443
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes;445
Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;420
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux";382
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";404
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";378
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux";394
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)";410
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)";379
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)";379
Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux;359
Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux;338
Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux);437
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux);442
Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;459
Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux;462
Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;375
Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés;400
Muesli floconneux ou de type traditionnel;382
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux);372
Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;390
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux);379
Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;374
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux);386
Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;390
Flocons d'avoine, bouillis/cuits à l'eau;76.3
Pétales de maïs natures, enrichis en vitamines et minéraux;376
Riz soufflé nature, enrichi en vitamines et minéraux;391
Pétales de maïs natures (non enrichis en vitamines et minéraux);380
Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;393
Kamut complet soufflé;378
Céréales complètes soufflées, enrichies en vitamines et minéraux;385
Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux;403
Flocon d'avoine précuit;370
Préparation pour mousse au chocolat;443
Lait entier, UHT;65.1
Lait entier, pasteurisé;56.5
Lait demi-écrémé, UHT;45.7
Lait demi-écrémé, pasteurisé;46.5
Lait demi-écrémé, UHT, enrichi en vitamines;45.6
Lait écrémé, UHT;33.8
Lait écrémé, pasteurisé;34.5
Lait demi-écrémé, à teneur réduite en lactose;45.7
Lait en poudre, entier;495
Lait concentré non sucré, entier;132
Lait concentré sucré, entier;328
Lait en poudre, demi-écrémé;435
Lait en poudre, écrémé;361
Crème de lait, 30% MG, épaisse, rayon frais;323
Crème de lait, 30% MG, liquide, UHT;-
Crème chantilly, sous pression, UHT;-
Crème de lait, 15 à 20% MG, légère, liquide, UHT;-
Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais;-
Spécialité à base de crème légère 8% MG, fluide ou épaisse;-
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré;73.7
Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;82.8
Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré;64.9
Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;-
Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus;-
Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus;97.2
Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus;67
Yaourt à la grecque, au lait de brebis;-
Yaourt à la grecque, sur lit de fruits;-
Yaourt au lait de chèvre, nature, 5% MG environ;-
Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG;-
Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG;54.5
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré;87.8
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème;-
Yaourt, lait fermenté ou spécialité laitière, aux céréales;-
Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré;-
Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG;49.3
Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D;-
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;93.8
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, 0% MG;-
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème;-
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D;-
Yaourt, lait fermenté ou spécialité laitière, nature;71.8
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG;39.4
Yaourt, lait fermenté ou spécialité laitière, nature, à la crème;-
Yaourt, lait fermenté ou spécialité laitière, nature, sucré;84.3
Lait fermenté à boire, nature, maigre;-
Lait fermenté à boire, nature, au lait entier;-
Yaourt à la grecque, nature;-
Kéfir;-
Faisselle, 6% MG environ;-
Fromage blanc nature, 0% MG;49.4
Fromage blanc nature, 3% MG environ;76.9
Fromage blanc nature, gourmand, 8% MG environ;116
Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ;-
Fromage frais type petit suisse, aux fruits, 2-3% MG;-
Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D;-
Fromage frais type petit suisse, nature, 0% MG;-
Fromage frais type petit suisse, nature, 4% MG environ;-
Fromage frais type petit suisse, nature, 9% MG environ;-
Fromage frais type petit suisse, aromatisé aux fruits, 2-3% MG, enrichi en calcium et vitamine D;-
Lait de chèvre, entier, UHT;60.9
Lait de chèvre, entier, cru;57.4
Lait de jument, entier;49.5
Lait de brebis, entier;103
Crème dessert, allégée en MG, rayon frais;83.8
Flan aux œufs, rayon frais;125
Lait emprésuré aromatisé, rayon frais;121
Lait gélifié aromatisé, nappé caramel, rayon frais;111
Lait gélifié aromatisé, rayon frais;145
Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais;153
Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais;77.8
Panna cotta, rayon frais;207
Gâteau de semoule aux raisins et caramel, rayon frais;143
Gâteau de riz au caramel, rayon frais;146
Milk-shake, provenant de fast food;127
Crème dessert au chocolat, rayon frais;136
Mousse au chocolat (base laitière), rayon frais;180
Crème caramel, rayon frais;139
Crème aux œufs (petit pot de crème chocolat, vanille, etc.), rayon frais;172
Riz au lait, rayon frais;126
Crème brûlée, rayon frais;282
Ile flottante, rayon frais;133
Semoule au lait, rayon frais;144
Mousse aux fruits, rayon frais;148
Crème dessert à la vanille, rayon frais;99.4
Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais;186
Crème dessert au café, rayon frais;111
Crème dessert au caramel, rayon frais;111
Cheesecake ou Gâteau au fromage frais, rayon frais;324
Dessert au soja, aux fruits, rayon frais;81.6
Dessert au soja, nature, rayon frais;44.7
Tiramisu, rayon frais;276
Mousse à la crème de marrons, rayon frais;230
Dessert au soja aromatisé, rayon frais;127
Profiteroles (crème pâtissière et sauce chocolat), rayon frais;256
Mousse au chocolat traditionnelle, rayon frais;303
Clafoutis aux fruits, rayon frais;202
Gâteau au chocolat, cœur fondant, rayon frais;364
Pain perdu;236
Lait de poule, sans alcool;97.3
Gâteau de semoule, appertisé;140
Crème dessert à la vanille, appertisée;125
Gâteau de riz, appertisé;122
Crème dessert au chocolat, appertisée;130
Crème pâtissière;137
Camembert, sans précision;274
Fromage à pâte molle et croûte fleurie (type camembert);360
Camembert au lait cru;263
Fromage à pâte molle double crème environ 30% MG;320
Fromage rond à pâte molle et croûte fleurie environ 11% MG type camembert allégé en matière grasse;187
Coulommiers;282
Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse;187
Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse;150
Brie, sans précision;297
Brie de Meaux;288
Brie de Melun;323
Carré de l'Est;327
Chaource;266
Maroilles laitier;338
Maroilles fermier;349
Neufchâtel;288
Fromage à pâte molle triple crème environ 40% MG;378
Fromage à pâte molle et croûte lavée, allégé environ 13% MG;208
Maroilles, sans précision;338
Livarot;287
Époisses;288
Munster;336
Langres;285
Pont l'Évêque;291
Reblochon;326
Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané);310
Saint-Marcellin;259
Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée;332
Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse);302
Saint-Félicien;264
Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine);324
Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin);300
Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure);315
Sainte-Maure de Touraine (fromage de chèvre);294
Fromage de chèvre demi-sec;347
Fromage de chèvre bûche;292
Fromage de chèvre bûche, allégé en matière grasse;179
Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé;279
Fromage de chèvre sec;440
Fromage de chèvre à pâte molle et croûte fleurie type camembert;292
Fromage de brebis à pâte molle et croûte fleurie;274
Chabichou (fromage de chèvre);294
Pélardon (fromage de chèvre);343
Crottin de chèvre, au lait cru;384
Crottin de chèvre, sans précision;340
Crottin de Chavignol (fromage de chèvre);296
Picodon (fromage de chèvre);315
Pouligny Saint-Pierre (fromage de chèvre);294
Sainte-Maure (fromage de chèvre);357
Selles-sur-Cher (fromage de chèvre);291
Chevrot (fromage de chèvre);277
Rocamadour (fromage de chèvre);279
Valençay (fromage de chèvre);306
Roquefort;358
Fourme de Montbrison;365
Fromage bleu au lait de vache;333
Fromage bleu d'Auvergne;343
Gorgonzola;312
Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC);364
Fromage bleu de Bresse;342
Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG;238
Provolone;340
Fromage à pâte ferme, enrobé de cire;-
Cantal entre-deux;365
Cantal, Salers ou Laguiole;371
Salers;385
Cheddar;399
Edam;338
Mimolette jeune;331
Gouda;374
Mimolette demi-vieille;365
Mimolette vieille;386
Mimolette, sans précision;308
Fromage à pâte ferme environ 27% MG type Maasdam;343
Mimolette extra-vieille;387
Morbier;354
Fromage de brebis des Pyrénées;397
Saint-Nectaire, laitier;332
Raclette (fromage);345
Saint-Nectaire, fermier;355
Saint-Nectaire, sans précision;341
Saint-Paulin (fromage à pâte pressée non cuite demi-ferme);299
Tomme ou tome;356
Tomme ou tome de montagne ou de Savoie;364
Tomme ou tome, allégée en matière grasse, environ 13% MG;240
Asiago;356
Fromage de brebis Corse à pâte molle;457
Tome des Bauges;381
Fromage de brebis à pâte pressée;384
Fromage de lactosérum de brebis;172
Beaufort;410
Comté;418
Abondance;397
Gruyère IGP France;396
Gruyère;422
Emmental ou emmenthal;384
Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse;264
Emmental ou emmenthal râpé;367
Ossau-Iraty;428
Parmesan;428
Fontina;381
Grana Padano;396
Fromage fondu en tranchettes;-
Fromage fondu en portions ou en cubes environ 20% MG;277
Fromage fondu double crème, environ 31% MG;320
Cancoillotte (spécialité fromagère fondue);-
Spécialité fromagère fondante au fromage blanc et aux noix;-
Snack pour enfants à base de fromage fondu et de gressins;-
Fromage type feta, au lait de vache;365
Feta de brebis;-
Spécialité fromagère non affinée environ 25% MG, type fromage en barquette à tartiner ou coque fromagère;-
Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère;-
Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche);-
Fromage de chèvre frais, au lait cru (type palet ou crottin frais);-
Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche);-
Fromage de chèvre à tartiner, nature;-
Spécialité fromagère non affinée à tartiner environ 30-35 % MG aromatisée (ex: ail et fines herbes);-
Mascarpone;-
Ricotta;-
Mozzarella au lait de vache;-
Oeuf, cru;140
Oeuf, blanc (blanc d'oeuf), cru;48.9
Oeuf, jaune (jaune d'oeuf), cru;307
Oeuf de caille, cru;154
Oeuf de cane, cru;181
Oeuf d'oie, cru;180
Oeuf de dinde, cru;166
Oeuf, blanc (blanc d'oeuf), cuit;47.3
Oeuf, jaune (jaune d'oeuf), cuit;340
Oeuf, dur;134
Oeuf, poché;139
Oeuf, à la coque;142
Oeuf, brouillé, avec matière grasse;145
Oeuf, au plat, sans matière grasse;147
Oeuf, jaune (jaune d'oeuf), en poudre;660
Oeuf, blanc (blanc d'oeuf), en poudre;356
Oeuf, en poudre;582
Omelette au fromage;255
Omelette aux lardons;267
Omelette aux champignons;125
Omelette aux fines herbes;147
Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons);137
Beurre à 82% MG, doux;746
Huile de beurre ou Beurre concentré;900
Beurre à 80% MG, demi-sel;736
Beurre à 80% MG, salé;757
Beurre à 82% MG, doux, tendre;753
Beurre à 60-62% MG, à teneur réduite en matière grasse, doux;558
Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel;553
Beurre à 39-41% MG, léger, doux;371
